X,Y,AngularMomentumDensity
-2.0,-2.0,0.9876543209876542
-1.979899497487437,-2.0,0.9875311752105871
-1.9597989949748744,-2.0,0.9874068295872249
-1.9396984924623115,-2.0,0.9872812862020537
-1.9195979899497488,-2.0,0.987154547969902
-1.899497487437186,-2.0,0.987026618675104
-1.879396984924623,-2.0,0.9868975030116786
-1.8592964824120604,-2.0,0.9867672066245168
-1.8391959798994975,-2.0,0.986635736151547
-1.8190954773869348,-2.0,0.9865030992668574
-1.7989949748743719,-2.0,0.9863693047247408
-1.778894472361809,-2.0,0.9862343624046295
-1.7587939698492463,-2.0,0.9860982833568709
-1.7386934673366834,-2.0,0.9859610798493051
-1.7185929648241207,-2.0,0.985822765414579
-1.6984924623115578,-2.0,0.9856833548981394
-1.678391959798995,-2.0,0.9855428645068396
-1.6582914572864322,-2.0,0.9854013118580749
-1.6381909547738693,-2.0,0.9852587160293644
-1.6180904522613067,-2.0,0.9851150976082899
-1.5979899497487438,-2.0,0.9849704787426833
-1.5778894472361809,-2.0,0.9848248831909554
-1.557788944723618,-2.0,0.9846783363724402
-1.5376884422110553,-2.0,0.9845308654176308
-1.5175879396984926,-2.0,0.9843824992181589
-1.4974874371859297,-2.0,0.984233268476371
-1.4773869346733668,-2.0,0.9840832057543386
-1.457286432160804,-2.0,0.9839323455221267
-1.4371859296482412,-2.0,0.9837807242051423
-1.4170854271356785,-2.0,0.9836283802303628
-1.3969849246231156,-2.0,0.9834753540712401
-1.3768844221105527,-2.0,0.983321688291068
-1.3567839195979898,-2.0,0.983167427584574
-1.3366834170854272,-2.0,0.9830126188175108
-1.3165829145728645,-2.0,0.9828573110639847
-1.2964824120603016,-2.0,0.982701555641269
-1.2763819095477387,-2.0,0.9825454061418346
-1.2562814070351758,-2.0,0.9823889184623069
-1.236180904522613,-2.0,0.982232150829078
-1.2160804020100502,-2.0,0.9820751638202658
-1.1959798994974875,-2.0,0.9819180203837212
-1.1758793969849246,-2.0,0.9817607858507806
-1.1557788944723617,-2.0,0.9816035279454403
-1.135678391959799,-2.0,0.9814463167886447
-1.1155778894472361,-2.0,0.9812892248973653
-1.0954773869346734,-2.0,0.9811323271781486
-1.0753768844221105,-2.0,0.9809757009148249
-1.0552763819095476,-2.0,0.9808194257500454
-1.035175879396985,-2.0,0.9806635836603596
-1.015075376884422,-2.0,0.9805082589245062
-0.9949748743718594,-2.0,0.9803535380846473
-0.9748743718592965,-2.0,0.9801995099002452
-0.9547738693467336,-2.0,0.9800462652943276
-0.9346733668341709,-2.0,0.9798938972918884
-0.914572864321608,-2.0,0.9797425009501857
-0.8944723618090451,-2.0,0.9795921732807484
-0.8743718592964824,-2.0,0.9794430131628877
-0.8542713567839195,-2.0,0.9792951212485773
-0.8341708542713568,-2.0,0.9791485998585723
-0.8140703517587939,-2.0,0.9790035528696807
-0.793969849246231,-2.0,0.9788600855931385
-0.7738693467336684,-2.0,0.9787183046440754
-0.7537688442211055,-2.0,0.9785783178021044
-0.7336683417085428,-2.0,0.9784402338631132
-0.7135678391959799,-2.0,0.9783041624823796
-0.693467336683417,-2.0,0.978170214009187
-0.6733668341708543,-2.0,0.9780384993131657
-0.6532663316582914,-2.0,0.9779091296026367
-0.6331658291457287,-2.0,0.9777822162352917
-0.6130653266331658,-2.0,0.9776578705216021
-0.5929648241206029,-2.0,0.9775362035213948
-0.5728643216080402,-2.0,0.9774173258340983
-0.5527638190954773,-2.0,0.9773013473832151
-0.5326633165829147,-2.0,0.9771883771956353
-0.5125628140703518,-2.0,0.9770785231764433
-0.49246231155778886,-2.0,0.9769718918799473
-0.4723618090452262,-2.0,0.9768685882776939
-0.4522613065326633,-2.0,0.976768715524266
-0.4321608040201004,-2.0,0.9766723747217396
-0.4120603015075377,-2.0,0.9765796646836769
-0.3919597989949748,-2.0,0.9764906816995861
-0.3718592964824121,-2.0,0.9764055193008109
-0.3517587939698492,-2.0,0.9763242680288239
-0.3316582914572863,-2.0,0.9762470152069249
-0.31155778894472363,-2.0,0.9761738447163528
-0.29145728643216073,-2.0,0.9761048367778308
-0.27135678391959805,-2.0,0.9760400677395528
-0.25125628140703515,-2.0,0.9759796098726166
-0.23115577889447225,-2.0,0.9759235311748958
-0.21105527638190957,-2.0,0.9758718951843101
-0.19095477386934667,-2.0,0.9758247608024271
-0.170854271356784,-2.0,0.9757821821292918
-0.1507537688442211,-2.0,0.975744208310339
-0.1306532663316582,-2.0,0.9757108833961708
-0.11055276381909551,-2.0,0.9756822462159521
-0.09045226130653261,-2.0,0.9756583302650901
-0.07035175879396993,-2.0,0.9756391636077983
-0.05025125628140703,-2.0,0.9756247687950756
-0.03015075376884413,-2.0,0.975615162798545
-0.01005025125628145,-2.0,0.9756103569605113
0.010050251256281229,-2.0,0.9756103569605113
0.03015075376884413,-2.0,0.975615162798545
0.05025125628140703,-2.0,0.9756247687950756
0.07035175879396993,-2.0,0.9756391636077983
0.09045226130653283,-2.0,0.9756583302650901
0.11055276381909529,-2.0,0.9756822462159521
0.1306532663316582,-2.0,0.9757108833961708
0.1507537688442211,-2.0,0.975744208310339
0.170854271356784,-2.0,0.9757821821292918
0.1909547738693469,-2.0,0.9758247608024271
0.2110552763819098,-2.0,0.9758718951843102
0.23115577889447225,-2.0,0.9759235311748958
0.25125628140703515,-2.0,0.9759796098726166
0.27135678391959805,-2.0,0.9760400677395528
0.29145728643216096,-2.0,0.9761048367778308
0.31155778894472386,-2.0,0.9761738447163528
0.3316582914572863,-2.0,0.9762470152069249
0.3517587939698492,-2.0,0.9763242680288239
0.3718592964824121,-2.0,0.9764055193008109
0.391959798994975,-2.0,0.9764906816995862
0.4120603015075379,-2.0,0.9765796646836769
0.4321608040201004,-2.0,0.9766723747217396
0.4522613065326633,-2.0,0.976768715524266
0.4723618090452262,-2.0,0.9768685882776939
0.4924623115577891,-2.0,0.9769718918799473
0.512562814070352,-2.0,0.9770785231764428
